indicador_id,indicador_nombre,pais_id,pais_nombre,iso3,anio_id,anio,modo_id,modo_transporte,valor,unidad,fuente_id,fecha_extraccion
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",224,Chile,CHL,29187,2017,74755,Transporte Aereo,34866104129.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",224,Chile,CHL,29188,2018,74755,Transporte Aereo,36806563580.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",224,Chile,CHL,29189,2019,74755,Transporte Aereo,40482539890.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",224,Chile,CHL,29190,2020,74755,Transporte Aereo,13854709390.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",224,Chile,CHL,29191,2021,74755,Transporte Aereo,14912202420.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",224,Chile,CHL,29192,2022,74755,Transporte Aereo,39057497950.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",216,Argentina,ARG,29187,2017,74755,Transporte Aereo,29965954320.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",216,Argentina,ARG,29188,2018,74755,Transporte Aereo,29924855613.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",216,Argentina,ARG,29189,2019,74755,Transporte Aereo,32070632434.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",216,Argentina,ARG,29190,2020,74755,Transporte Aereo,6848173710.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",216,Argentina,ARG,29191,2021,74755,Transporte Aereo,9806160510.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",216,Argentina,ARG,29192,2022,74755,Transporte Aereo,32020241990.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",244,Peru,PER,29187,2017,74755,Transporte Aereo,24879504357.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",244,Peru,PER,29188,2018,74755,Transporte Aereo,27076329064.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",244,Peru,PER,29189,2019,74755,Transporte Aereo,27820380915.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",244,Peru,PER,29190,2020,74755,Transporte Aereo,6678575845.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",244,Peru,PER,29191,2021,74755,Transporte Aereo,10455981962.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",244,Peru,PER,29192,2022,74755,Transporte Aereo,24057141961.15,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",242,Paraguay,PRY,29187,2017,74755,Transporte Aereo,653162201.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",242,Paraguay,PRY,29188,2018,74755,Transporte Aereo,947046321.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",242,Paraguay,PRY,29189,2019,74755,Transporte Aereo,834010319.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",242,Paraguay,PRY,29190,2020,74755,Transporte Aereo,176020905.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",242,Paraguay,PRY,29191,2021,74755,Transporte Aereo,127987522.0,kilómetros de pasajeros facturados,3760,2026-04-07
3906,"Volumen de transporte de pasajeros (en pasajeros-kilómetro), desglosado por medio de transporte IS_RDP_PFVOL",242,Paraguay,PRY,29192,2022,74755,Transporte Aereo,525744720.0,kilómetros de pasajeros facturados,3760,2026-04-07
